City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Mayumba,GA,77.32,overcast clouds,-3.432,10.6554,LIKWALE LODGE
345,Eyl,SO,81.64,broken clouds,7.9803,49.8164,Amiin Hotel
351,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
362,Muisne,EC,76.77,overcast clouds,0.6,-80.0333,Quinta Samay
366,Buraydah,SA,83.44,clear sky,26.326,43.975,Mövenpick Qassim
367,Hambantota,LK,79.7,overcast clouds,6.1241,81.1185,Bungalow 63
370,Aitape,PG,83.41,scattered clouds,-3.1374,142.3475,
372,Touros,BR,79.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
373,Kavaratti,IN,82.06,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
374,Hamilton,US,76.05,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
377,Cayenne,GF,76.08,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
378,Alibag,IN,86.07,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
381,Maragogi,BR,78.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
389,Usta Muhammad,PK,89.73,clear sky,28.1794,68.0445,Hindu Colony
391,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
392,Gizo,SB,83.23,clear sky,-8.103,156.8419,Imagination Island
395,Barentu,ER,84.27,clear sky,15.1139,37.5928,
396,Warri,NG,76.96,moderate rain,5.5167,5.75,BON Hotel Delta
397,Newton,US,75.18,broken clouds,42.337,-71.2092,Sheraton Boston Needham Hotel
412,Diglur,IN,89.53,broken clouds,18.55,77.6,Khateeb cottage
414,Juazeiro,BR,86.18,light rain,-9.4117,-40.4986,JB Hotel
418,Key West,US,86.0,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
421,Aswan,EG,81.81,few clouds,24.0934,32.907,Nuba Nile
426,Axim,GH,80.13,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
427,Guadalajara,MX,87.57,broken clouds,20.6667,-103.3333,Hotel Aranzazú
428,San Lazaro,BZ,87.46,scattered clouds,18.0387,-88.6622,
436,Poum,NC,77.9,overcast clouds,-20.2333,164.0167,
439,Mandali,IQ,75.6,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
440,Cukai,MY,77.09,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
441,Plaeng Yao,TH,81.01,overcast clouds,13.5847,101.284,Nongkrok Resort
449,San Ramon,US,77.65,clear sky,37.7799,-121.978,San Ramon Marriott
454,Bubaque,GW,79.66,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
457,Manggar,ID,80.47,overcast clouds,-2.8833,108.2667,Guest Hotel
467,Jennings,US,80.62,few clouds,38.7192,-90.2604,First Western Inn
469,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
471,Gashua,NG,86.18,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
475,Mecca,SA,84.7,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
484,Koumac,NC,79.59,broken clouds,-20.5667,164.2833,Le Monitel
486,Tabou,CI,79.65,overcast clouds,4.423,-7.3528,hotêl doufoulougou
490,Ende,ID,78.57,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
495,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
498,Ko Samui,TH,83.23,overcast clouds,9.5357,99.9357,The Passage
499,Kieta,PG,83.14,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
504,Samarai,PG,80.98,few clouds,-10.6167,150.6667,Nuli Sapi
512,Gigmoto,PH,82.35,overcast clouds,13.7796,124.39,Cj's Travellers Inn
514,Vung Tau,VN,81.52,overcast clouds,10.346,107.0843,Seaside Resort
517,Cairns,AU,79.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
522,Palu,ID,78.06,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
523,Puerto Escondido,MX,87.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
525,Ada,US,77.29,clear sky,43.4166,-116.1262,
527,Catio,GW,79.81,overcast clouds,11.2833,-15.25,Pausada Morabedja
531,Porto Novo,BJ,81.03,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
534,Hervey Bay,AU,75.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
538,Payao,PH,81.23,overcast clouds,10.1833,122.95,Manolita
541,Casper,US,77.72,scattered clouds,42.8666,-106.3131,Ramkota Hotel
543,Gallup,US,84.04,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
545,Kirakira,SB,84.96,broken clouds,-10.4544,161.9205,SanBiz Lodge
548,Oussouye,SN,80.78,few clouds,12.485,-16.5469,Auberge du Routard
549,Cravo Norte,CO,79.72,moderate rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
552,Matadi,CD,76.42,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
555,Muli,MV,83.28,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
557,Barisal,BD,81.77,overcast clouds,22.7019,90.3711,Hotel Arefin Residential
558,Funadhoo,MV,82.71,light rain,6.15,73.2667,Dhaffalhu Tourist Lodge
560,Ruidoso,US,86.14,scattered clouds,33.3317,-105.673,Inn of the Mountain Gods
562,Manaure,CO,87.91,overcast clouds,11.7751,-72.4445,Hotel Palaaima
564,Sacramento,US,85.32,clear sky,38.4666,-121.3177,Manda’s House
565,Omboue,GA,78.66,overcast clouds,-1.5746,9.2618,Hotel Olako
567,Matthews,US,80.6,broken clouds,35.1168,-80.7237,"Holiday Inn Express & Suites Charlotte Southeast - Matthews, an IHG Hotel"
568,Bani Walid,LY,75.74,broken clouds,31.7566,13.9942,منزل مفتاح محمد الزلبي
570,Soplaviento,CO,85.93,overcast clouds,10.3931,-75.1408,HOTEL MI TIERRA NATAL
571,Cedar City,US,82.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
573,Ternate,ID,81.14,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
578,Vanimo,PG,82.31,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
579,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Hotel Citra
581,Akyab,MM,83.48,overcast clouds,20.15,92.9,Hotel Memory
583,Coahuayana,MX,86.61,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
584,Manokwari,ID,82.53,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
590,Santa Rosalia,MX,83.84,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
591,Barra Do Garcas,BR,78.3,broken clouds,-15.89,-52.2567,Pousada Tropical
594,Raga,SS,75.24,scattered clouds,8.4596,25.678,
597,Tecoanapa,MX,86.58,few clouds,16.5167,-98.75,Hotel Manglares
599,Guasdualito,VE,81.34,overcast clouds,7.2424,-70.7324,Hotel Cuibas
601,Marrakesh,MA,75.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
602,Garissa,KE,75.42,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
604,Tarakan,ID,75.33,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
605,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
606,Manavalakurichi,IN,78.94,overcast clouds,8.1333,77.3,Jebinrio home
609,Camopi,GF,75.18,light rain,3.1655,-52.3158,La pousada
620,Sakakah,SA,77.11,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
625,Utinga,BR,77.85,few clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
629,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
631,Bonthe,SL,79.21,moderate rain,7.5264,-12.505,Bonthe Holiday Village
634,Mangrol,IN,83.12,clear sky,21.1167,70.1167,Hotel The Royal Honours
635,Dubai,AE,82.33,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
639,Manuk Mangkaw,PH,81.95,overcast clouds,4.8,119.85,
644,Sur,OM,85.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
651,Yurimaguas,PE,80.76,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
652,Gamba,GA,77.63,overcast clouds,-2.65,10.0,
654,Pasni,PK,81.99,clear sky,25.2631,63.471,Kashmiri Hotal
659,Mitsamiouli,KM,79.09,clear sky,-11.3847,43.2844,Foyer ADM
661,Cuilco,GT,76.75,overcast clouds,15.4,-91.9667,Hotel El Diamante
667,Mehriz,IR,77.5,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
668,Lufilufi,WS,85.78,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
670,Sabha,LY,77.11,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
672,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
673,Buritis,BR,75.4,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
675,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
677,The Valley,AI,80.74,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
679,Feni,BD,79.79,overcast clouds,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
681,Progreso,MX,87.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
683,Sombrerete,MX,82.2,few clouds,23.6333,-103.65,Hotel Conde del Jaral
